product_id,name,category,base_price,current_price,title_length,word_count,views,add_to_cart,purchases,stock_quantity,competitor_price,month,conversion_rate,stock_percentage,price_ratio,price_percentile,category_encoded,price_log,cat_mean_price,cat_std_price,optimal_price
1,Product 1,books,2198.232434339215,2153.4497105759747,31,7,1807,410,63,177,1665.79740528655,6,0.034864416159380185,0.885,1.2927440658400706,0.7740652780726669,1,7.675290615208155,2258.384216522873,1536.4432032777277,2133.553057416311
2,Product 2,sports,480.93237445759075,403.4718531639451,83,17,3147,744,27,161,623.7190145698036,6,0.008579599618684462,0.805,0.6468807968636822,0.9608896034679163,5,6.002582149810317,2362.3050146163573,1439.774856158148,654.1182092191306
3,Product 3,home,3580.3728742166077,3450.1673815567083,59,14,4955,19,86,116,4036.4793237671793,8,0.017356205852674066,0.58,0.8547466999872365,0.4522780390227521,4,8.146467824256405,2607.7514029807867,1439.7449061287261,3705.4023104505955
4,Product 4,books,621.2947349609856,615.1429233245597,94,18,4697,155,80,40,450.49513166625957,5,0.017032148179689163,0.2,1.3654818444969927,0.8358278924812864,1,6.423478955005443,2258.384216522873,1536.4432032777277,728.9574010888857
5,Product 5,home,1137.6963687864536,939.2277062638257,33,9,9074,119,32,135,1117.3958857484063,7,0.003526559400484902,0.675,0.8405505320388328,0.9526577653406697,4,6.846122086634705,2607.7514029807867,1439.7449061287261,1228.2719203818385
6,Product 6,toys,2060.0034175219444,2300.8585983447197,75,12,2308,873,85,135,1754.0254590897007,4,0.03682842287694974,0.675,1.3117589521983408,0.38687070491942444,6,7.74147216182818,2761.7279599608955,1462.116403063641,2378.5470327402863
7,Product 7,sports,3514.8132253313324,3824.241485244076,39,8,4391,635,77,65,4351.631921327462,7,0.017535868822591665,0.325,0.8788062856376635,0.5344807743433205,5,8.249376877664952,2362.3050146163573,1439.774856158148,3739.20297372661
8,Product 8,beauty,1648.827045383227,1590.0840198145536,95,16,3507,545,9,142,1989.9699732069785,1,0.0025662959794696323,0.71,0.7990492526136059,0.9533511505711709,0,7.372170836380597,2483.0589853955703,1439.4142289513322,1781.8012723761171
9,Product 9,beauty,3617.8263438017343,4166.948632533166,36,17,2470,229,65,33,3869.2643232610008,5,0.02631578947368421,0.165,1.0769356354081487,0.5274296053200249,0,8.335179259108978,2483.0589853955703,1439.4142289513322,3316.1860287561426
10,Product 10,books,365.9368113770479,369.8780561928927,95,17,7950,352,45,65,341.4906812289524,7,0.005660377358490566,0.325,1.0831278173148977,0.3387424317017197,1,5.9158733190701716,2258.384216522873,1536.4432032777277,521.0869914948343
